trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",35,0,-32.762483644822524,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,0,32.90667904428322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",20,0,-14.556640951338474,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",20,0,-21.63628335631161,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,0,-17.551324453145284,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",25,0,-20.59200916367949,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",30,4,20.337849091974757,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",30,0,-65.14176844808773,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",20,4,-12.488575644162506,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",20,0,1.7569616539102528,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",30,4,-42.82975153124444,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",35,18,3.0590074777815874,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,11,16.941027024426113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,3,-28.432777946192118,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",35,0,-72.62648097774444,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,8,37.98598782844411,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,2,-6.8378754533438135,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,9,-12.561506801374508,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,6,24.46200926483214,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,6,-71.48827525906096,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,2,24.006726324712176,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",30,0,-32.79805539344292,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,0,2.187916710110798,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,0,-5.704747712578202,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",25,1,-47.305216876326604,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",25,13,10.951045148591042,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,16,7.419522093079655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
